provider;channel;language;businessScenario;dataSource;id;author;date;category_long;category_short;keyword;text;category_alt
OMQ;email;DE;multimedia software developer;;1;;14.10.2013;86;11;TODO;"ich habe seit 2 Tagen in meiner Warehouse Software 
unter Exportieren-File
Optionen ein fast nicht lesbare Schrift.";86
OMQ;email;DE;multimedia software developer;;2;;14.10.2013;86;11;TODO;"Am Samstag
bekam
die Version WAREHOUSE Sales firstclass 20 Neo, musste nach der Installation
feststellen, dass die Beschriftung der Knoepfe im Exportbildschirm
nicht lesbar sind (z.B. Dateiformat, Navigation, Komprimierung, Schrift,
Sortieren
u.s.w. die komplette Beschriftung unter File-Optionen, Titelseite gestalten
und
Knoepfe gestalten.";86
OMQ;email;DE;multimedia software developer;;3;;14.10.2013;86;11;TODO;Im Exportmodus ist die Schrift im kleinen Vorschaufenster im Filemenü immer identisch mit der Schrift der Überschriftzeile vom Untermenü.;86
OMQ;email;DE;multimedia software developer;;4;;14.10.2013;57;11;TODO;"Auf meinem Specificationsheet werden die Textbausteine nur noch als Sprechblase angezeigt, ich hätte
heute eine Onlinepräsentation meines Specificationsheets gehabt, um einen Sponsor zu gewinnen.";57
OMQ;email;DE;multimedia software developer;;5;;14.10.2013;57;11;TODO;"Seit Ihrem update kommen komische Blasen auf meinem Blatt zu Vorschein, die ich aber nicht
reingemacht habe !";57
OMQ;email;DE;multimedia software developer;;6;;14.10.2013;57;11;TODO;"auf meinem detailsheet http://www.rhein-main-versand.de sind seit gestern
abend einige Calibri-Texte durch blaue Sprechblasen(?!) ersetzt, u.a. auch das
Impressum";57
OMQ;email;DE;multimedia software developer;;7;;14.10.2013;57;11;TODO;"leider kann ich ab heute nicht mehr meine Sammlungen verwalten.
Es tut sich bei Auswahl des entsprechenden Buttons gar nichts mehr.";57
OMQ;email;DE;multimedia software developer;;8;;14.10.2013;57;11;TODO;Trotzdem öffnet sich dann die Online-Sammlung in einem neuen Fenster, welches aber nur halbe Bildschirmgröße erreicht. D.H., es muß von Hand auf volle Bildschirmgröße gebracht werden.;57
OMQ;email;DE;multimedia software developer;;9;;14.10.2013;57;11;TODO;Möchte gerne die Studio-Version nutzen, aber ich kann die Previewbilder nicht austauschen, obwohl sie im Online-Organizer gelöscht wurden - d.h. ich habe die Reihenfolge der Produkte so verändert bzw. Produkte gelöscht,damit die Preview immer das erste Produkt zeigt, aber es passiert nichts.;57
OMQ;email;DE;multimedia software developer;;10;;14.10.2013;57;11;TODO;Plötzlich wurden Daten nicht mehr geladen bzw.nur der ladevorgang (kreisende punkte)angezeigt,Texte verschoben dargestellt.;57
